Z,E,CI_ppm
1,H,18600
2,He,0.00917
3,Li,1.51
4,Be,0.022
5,B,0.744
6,C,41300
7,N,2500
8,O,453840
9,F,92
10,Ne,1.80E-04
11,Na,5100
12,Mg,95170
13,Al,8370
14,Si,107740
15,P,978
16,S,53600
17,Cl,717
18,Ar,0.00133
19,K,539
20,Ca,8840
21,Sc,5.83
22,Ti,450
23,V,53.6
24,Cr,2610
25,Mn,1896
26,Fe,185620
27,Co,508
28,Ni,10950
29,Cu,130
30,Zn,311
31,Ga,9.45
32,Ge,33.4
33,As,1.77
34,Se,20.4
35,Br,3.77
36,Kr,5.22E-05
37,Rb,2.22
38,Sr,7.79
39,Y,1.5
40,Zr,3.79
41,Nb,0.279
42,Mo,0.976
43,Tc,nan
44,Ru,0.666
45,Rh,0.133
46,Pd,0.558
47,Ag,0.204
48,Cd,0.679
49,In,0.0786
50,Sn,1.63
51,Sb,0.169
52,Te,2.31
53,I,0.77
54,Xe,1.74E-04
55,Cs,0.188
56,Ba,2.39
57,La,0.244
58,Ce,0.627
59,Pr,0.0951
60,Nd,0.472
61,Pm,nan
62,Sm,0.153
63,Eu,0.0577
64,Gd,0.208
65,Tb,0.038
66,Dy,0.252
67,Ho,0.0563
68,Er,0.164
69,Tm,0.0259
70,Yb,0.167
71,Lu,0.0249
72,Hf,0.106
73,Ta,0.0148
74,W,0.102
75,Re,0.0369
76,Os,0.475
77,Ir,0.474
78,Pt,0.931
79,Au,0.147
80,Hg,0.288
81,Tl,0.141
82,Pb,2.64
83,Bi,0.113
90,Th,0.0298
92,U,0.00816
